bench,mode,api,iface,op,size_bytes,blocks,threads,repeats,total_bytes,host_ms,host_wall_ns,gbps_host,gbps_host_wall,dev_cycles,bytes_per_cycle,clk_khz,clk_eff_khz_from_host,gbps_dev
ptshmem_perf_matrix_device,dev_put,device,blocking,put,1024,4,128,65536,67108864,162.064835,162097203,0.414087,0.414004,161377568,0.415850015,1073741,995759.311,0.446515
ptshmem_perf_matrix_device,dev_put,device,blocking,put,1024,4,256,65536,67108864,162.334656,162360275,0.413398,0.413333,161424904,0.415728071,1073741,994395.825,0.446384
ptshmem_perf_matrix_device,dev_put,device,blocking,put,1024,4,512,65536,67108864,163.046875,163074768,0.411592,0.411522,161582142,0.415323520,1073741,991016.491,0.445950
ptshmem_perf_matrix_device,dev_put,device,blocking,put,1024,8,128,65536,67108864,161.831070,161855712,0.414685,0.414622,160902856,0.417076898,1073741,994264.303,0.447833
ptshmem_perf_matrix_device,dev_put,device,blocking,put,1024,8,256,65536,67108864,162.527115,162552627,0.412909,0.412844,161081134,0.416615294,1073741,991103.141,0.447337
ptshmem_perf_matrix_device,dev_put,device,blocking,put,1024,8,512,65536,67108864,165.203751,165229388,0.406219,0.406156,162672794,0.412538952,1073741,984679.787,0.442960
ptshmem_perf_matrix_device,dev_put,device,blocking,put,1024,16,128,65536,67108864,159.822006,159847060,0.419898,0.419832,158746676,0.422741853,1073741,993271.701,0.453915
ptshmem_perf_matrix_device,dev_put,device,blocking,put,1024,16,256,65536,67108864,222.578857,222599848,0.301506,0.301478,220597612,0.304213919,1073741,991098.681,0.326647
ptshmem_perf_matrix_device,dev_put,device,blocking,put,1024,16,512,65536,67108864,433.828125,433841125,0.154690,0.154685,430248414,0.155977017,1073741,991748.550,0.167479
ptshmem_perf_matrix_device,dev_put,device,blocking,put,1024,32,128,65536,67108864,229.226181,229246166,0.292763,0.292737,227412710,0.295097244,1073741,992088.726,0.316858
ptshmem_perf_matrix_device,dev_put,device,blocking,put,1024,32,256,65536,67108864,435.279022,435289444,0.154174,0.154171,431857956,0.155395688,1073741,992140.521,0.166855
ptshmem_perf_matrix_device,dev_put,device,blocking,put,1024,32,512,65536,67108864,847.357849,847344639,0.079198,0.079199,841109612,0.079786110,1073741,992626.212,0.085670
ptshmem_perf_matrix_device,dev_put,device,blocking,put,1024,64,128,65536,67108864,436.109680,436117180,0.153881,0.153878,432814386,0.155052295,1073741,992443.887,0.166486
ptshmem_perf_matrix_device,dev_put,device,blocking,put,1024,64,256,65536,67108864,845.284973,845268117,0.079392,0.079394,839604420,0.079929146,1073741,993279.718,0.085823
ptshmem_perf_matrix_device,dev_put,device,blocking,put,1024,64,512,65536,67108864,1659.213745,1659148295,0.040446,0.040448,1648700020,0.040704108,1073741,993663.429,0.043706
ptshmem_perf_matrix_device,dev_put_nbi,device,nbi,put,1024,4,128,65536,67108864,147.089676,147116573,0.456245,0.456161,146439744,0.458269471,1073741,995581.390,0.492063
ptshmem_perf_matrix_device,dev_put_nbi,device,nbi,put,1024,4,256,65536,67108864,147.415222,147439352,0.455237,0.455162,146494660,0.458097681,1073741,993755.311,0.491878
ptshmem_perf_matrix_device,dev_put_nbi,device,nbi,put,1024,4,512,65536,67108864,148.099976,148126606,0.453132,0.453051,146656808,0.457591195,1073741,990255.450,0.491334
ptshmem_perf_matrix_device,dev_put_nbi,device,nbi,put,1024,8,128,65536,67108864,147.162323,147188608,0.456019,0.455938,146235032,0.458910995,1073741,993698.856,0.492752
ptshmem_perf_matrix_device,dev_put_nbi,device,nbi,put,1024,8,256,65536,67108864,147.854630,147882414,0.453884,0.453799,146420216,0.458330590,1073741,990298.488,0.492128
ptshmem_perf_matrix_device,dev_put_nbi,device,nbi,put,1024,8,512,65536,67108864,150.931244,150955512,0.444632,0.444561,148433692,0.452113419,1073741,983452.386,0.485453
ptshmem_perf_matrix_device,dev_put_nbi,device,nbi,put,1024,16,128,65536,67108864,145.409851,145436757,0.461515,0.461430,144234388,0.465276450,1073741,991916.207,0.499586
ptshmem_perf_matrix_device,dev_put_nbi,device,nbi,put,1024,16,256,65536,67108864,215.773056,215794397,0.311016,0.310985,213805274,0.313878431,1073741,990880.316,0.337024
ptshmem_perf_matrix_device,dev_put_nbi,device,nbi,put,1024,16,512,65536,67108864,425.630798,425639344,0.157669,0.157666,422023352,0.159016945,1073741,991524.471,0.170743
ptshmem_perf_matrix_device,dev_put_nbi,device,nbi,put,1024,32,128,65536,67108864,223.951385,223971705,0.299658,0.299631,222150346,0.302087596,1073741,991957.900,0.324364
ptshmem_perf_matrix_device,dev_put_nbi,device,nbi,put,1024,32,256,65536,67108864,429.368256,429378633,0.156297,0.156293,425937358,0.157555713,1073741,992009.429,0.169174
ptshmem_perf_matrix_device,dev_put_nbi,device,nbi,put,1024,32,512,65536,67108864,839.323120,839308807,0.079956,0.079957,832696850,0.080592192,1073741,992105.222,0.086535
ptshmem_perf_matrix_device,dev_put_nbi,device,nbi,put,1024,64,128,65536,67108864,431.151367,431158507,0.155650,0.155648,427863572,0.156846407,1073741,992374.383,0.168412
ptshmem_perf_matrix_device,dev_put_nbi,device,nbi,put,1024,64,256,65536,67108864,838.229736,838213014,0.080060,0.080062,832517484,0.080609555,1073741,993185.338,0.086554
ptshmem_perf_matrix_device,dev_put_nbi,device,nbi,put,1024,64,512,65536,67108864,1651.984497,1651919715,0.040623,0.040625,1641424198,0.040884534,1073741,993607.507,0.043899
ptshmem_perf_matrix_device,dev_get,device,blocking,get,1024,4,128,65536,67108864,193.343277,193366831,0.347097,0.347055,192660512,0.348327030,1073741,996468.639,0.374013
ptshmem_perf_matrix_device,dev_get,device,blocking,get,1024,4,256,65536,67108864,193.630737,193653893,0.346582,0.346540,192699176,0.348257140,1073741,995188.980,0.373938
ptshmem_perf_matrix_device,dev_get,device,blocking,get,1024,4,512,65536,67108864,194.291534,194312857,0.345403,0.345365,192821494,0.348036220,1073741,992433.842,0.373701
ptshmem_perf_matrix_device,dev_get,device,blocking,get,1024,8,128,65536,67108864,192.340088,192361974,0.348907,0.348868,191435648,0.350555733,1073741,995297.705,0.376406
ptshmem_perf_matrix_device,dev_get,device,blocking,get,1024,8,256,65536,67108864,192.979202,193002086,0.347752,0.347711,191551108,0.350344431,1073741,992599.750,0.376179
ptshmem_perf_matrix_device,dev_get,device,blocking,get,1024,8,512,65536,67108864,195.270706,195292282,0.343671,0.343633,192748636,0.348167776,1073741,987084.237,0.373842
ptshmem_perf_matrix_device,dev_get,device,blocking,get,1024,16,128,65536,67108864,191.169464,191194914,0.351044,0.350997,189982422,0.353237227,1073741,993790.629,0.379285
ptshmem_perf_matrix_device,dev_get,device,blocking,get,1024,16,256,65536,67108864,244.369308,244387482,0.274621,0.274600,242391590,0.276861355,1073741,991906.846,0.297277
ptshmem_perf_matrix_device,dev_get,device,blocking,get,1024,16,512,65536,67108864,457.813171,457818961,0.146586,0.146584,454231912,0.147741412,1073741,992177.465,0.158636
